 ,Kalmia microphylla (Hook.) A. Heller ssp. occidentalis (Small) Roy L. Taylor & MacBryde
 ,Kalmia microphylla (Hook.) A. Heller var. occidentalis (Small) Ebinger
 ,Kalmia occidentalis Small
Alexander's buckwheat,Kalmia polifolia Wangenh. ssp. microphylla (Hook.) Calder & Roy L. Taylor
alfalfa,Kalmia polifolia Wangenh. ssp. occidentalis (Small) Abrams
alfalfa,Kalmia polifolia Wangenh. var. microphylla (Hook.) Rehder
alfalfa,Aster apricus (A. Gray) Rydb.
 ,Aster foliaceus Lindl. ex DC. var. apricus A. Gray
 ,Aster subspicatus Nees var. apricus (A. Gray) B. Boivin
 ,Lewisia minima (A. Nelson) A. Nelson
alfalfa dodder,Lewisia pygmaea (A. Gray) B.L. Rob. var. aridorum Bartlett
 ,Lewisia sierrae Ferris
 ,Oreobroma pygmaeum (A. Gray) Howell
 ,Talinum pygmaeum A. Gray
Algerian ivy,Thalictrum alpinum L. var. hebetum B. Boivin
 ,Rumex digyna L.
Algerian sea lavender,Noccaea coloradensis (Rydb.) Holub
Algerian sea lavender,Noccaea montana (L.) F.K. Mey. var. montana
Algodones sunflower,Thlaspi alpestre auct. non L.
 ,Thlaspi alpestre L. var. glaucum A. Nelson
alhagi,Thlaspi australe A. Nelson
Alice Eastwood's fleabane,Thlaspi cochleariforme DC.
aliciella,Thlaspi fendleri A. Gray var. coloradense (Rydb.) Maguire
alkali buttercup,Thlaspi fendleri A. Gray var. glaucum (A. Nelson) C.L. Hitchc.
 ,Thlaspi fendleri A. Gray var. hesperium (Payson) C.L. Hitchc.
 ,Thlaspi fendleri A. Gray var. tenuipes Maguire
 ,Thlaspi glaucum (A. Nelson) A. Nelson
 ,Thlaspi glaucum (A. Nelson) A. Nelson var. hesperium Payson
 ,Thlaspi glaucum (A. Nelson) A. Nelson var. pedunculatum Payson
 ,Thlaspi hesperium (Payson) G.N. Jones
 ,Thlaspi montanum L.
 ,Thlaspi montanum L. var. montanum
alkali centaury,Potamogeton alpinus Balbis ssp. tenuifolius (Raf.) Hultén
 ,Potamogeton alpinus Balbis var. subellipticus (Fernald) Ogden
alkali cordgrass,Potamogeton alpinus Balbis var. tenuifolius (Raf.) Ogden
 ,Acetosa gracilescens (Rech. f.) Á. Löve & Evenson
alkali cusickiella,Rumex paucifolius Nutt. var. gracilescens Rech. f.
 ,Acetosella paucifolia (Nutt.) Á. Löve
 ,Primula tetrandra (Suksd.) A.R. Mast & Reveal
alkali desertparsley,Claytonia bellidifolia Rydb.
alkali desertparsley,Eriogonum umbellatum Torr. ssp. minus (I.M. Johnst.) Munz
alkali desertparsley,Phleum alpinum L. var. commutatum (Gaudin) Griseb.
 ,Phleum commutatum Gaudin
 ,Phleum commutatum Gaudin var. americanum (Fourn.) Hultén
 ,Salix arctica Pall. ssp. petraea (Andersson) Á. Löve & D. Löve & Kapoor
alkali goldenbush,Salix arctica Pall. var. caespitosa (Kennedy) L. Kelso
alkali goldenbush,Salix arctica Pall. var. graminifolia (E.H. Kelso) L. Kelso
 ,Salix arctica Pall. var. petraea (Andersson) Bebb
alkali goldenbush,Salix arctica Pall. var. petrophila (Rydb.) L. Kelso
